"","longitude","latitude","elevation","min_dist","min_dist_idx"
"158",-47.424488067627,-22.0445308685303,637,1198.26237111063,787
"159",-47.4243469238281,-21.5239219665527,699,1154.64266340152,812
"160",-47.4240074157715,-23.6579704284668,811,1302.5880436118,713
"161",-47.4239387512207,-23.2936401367188,596,1182.22559817876,729
"162",-47.4236259460449,-20.1702060699463,795,1197.84507701512,874
"163",-47.4227256774902,-20.8467483520508,764,464.091227978447,843
"164",-47.4217185974121,-22.4082050323486,668,1158.95323713751,771
"165",-47.420467376709,-21.8873710632324,574,706.321075303746,795
"166",-47.4197692871094,-22.7720909118652,567,864.722117278441,754
"167",-47.4192504882812,-19.8568019866943,926,98.1855445169624,889
"168",-47.4187049865723,-23.8647804260254,994,212.403837235693,703
"169",-47.4185333251953,-23.1361122131348,563,614.334015053296,737
"170",-47.4182052612305,-23.5003509521484,621,400.676695647701,720
"171",-47.417537689209,-21.2098636627197,616,427.233486015628,826
"172",-47.4174118041992,-22.2509689331055,702,396.464190252228,778
"173",-47.417308807373,-19.7001457214355,955,650.971804846433,896
"174",-47.4166488647461,-21.7302207946777,691,175.821789808972,802
"175",-47.4149589538574,-22.6147346496582,621,366.282032069143,761
"176",-47.4137573242188,-19.3869609832764,1041,655.933152599624,911
"177",-47.413387298584,-22.9787006378174,564,523.634617249927,744
"178",-47.4131393432617,-22.0937385559082,643,629.272639549148,785
"179",-47.4130020141602,-21.5730838775635,741,926.219656598884,809
"180",-47.4126892089844,-23.707160949707,850,801.820218009143,710
"181",-47.41259765625,-23.3428230285645,620,686.505920375753,727
"182",-47.4121856689453,-19.2303924560547,947,660.073636293522,918
"183",-47.4113311767578,-20.8959445953369,815,937.250792734155,841
"184",-47.4107551574707,-19.073902130127,863,1134.3600150438,925
"185",-47.410400390625,-22.4574184417725,701,1018.73670025778,768
"186",-47.4100608825684,-20.0627479553223,564,1343.27983482413,879
"187",-47.4095039367676,-21.4160747528076,644,1318.68036003027,817
"188",-47.4091262817383,-21.9365787506104,587,1409.83068311871,792
"189",-47.4084243774414,-22.8212966918945,575,1336.38466045298,751
"190",-47.4074249267578,-23.9139595031738,869,1414.20247819887,933
"191",-47.4072341918945,-23.1853275299072,544,1541.39960225678,966
"192",-47.4068717956543,-23.549560546875,676,1504.03740042211,950
"193",-47.4062080383301,-21.2590713500977,680,1010.4768341662,1056
"194",-47.4060974121094,-22.3001651763916,703,1437.27669795253,1008
"195",-47.405948638916,-19.7493877410889,971,950.173423587672,1126
"196",-47.4053153991699,-21.7793960571289,719,1090.45681111082,1032
"197",-47.4041023254395,-19.5927696228027,1033,971.613128187281,1133
"198",-47.4036712646484,-22.6639251708984,579,1071.32955010565,991
"199",-47.4032745361328,-20.4254570007324,978,1182.38824368771,1095
"200",-47.4029960632324,-21.1020927429199,710,773.38580997729,1063
"201",-47.402416229248,-19.4361915588379,1066,1281.65821995431,1141
"202",-47.4020843505859,-23.0278987884521,557,781.924711432489,974
"203",-47.401782989502,-22.1429424285889,669,624.743720434827,1015
"204",-47.4013557434082,-23.7563362121582,959,490.511007407663,940
"205",-47.4012756347656,-23.3920192718506,598,570.834931141686,957
"206",-47.3994026184082,-19.1231594085693,811,304.442380672084,1155
"207",-47.3990669250488,-22.5066375732422,660,249.137586219087,998
"208",-47.3981857299805,-21.465311050415,698,769.185025274268,1046
"209",-47.3978080749512,-21.9857807159424,614,377.322728476894,1022
"210",-47.3971977233887,-20.7883033752441,786,605.89764699046,1078
"211",-47.3970909118652,-22.870491027832,602,184.454743091346,981
"212",-47.3961296081543,-23.9631729125977,639,827.925161465005,930
"213",-47.3959503173828,-23.2345314025879,553,425.311473830416,964
"214",-47.3955612182617,-23.5987300872803,859,646.776144931121,947
"215",-47.394847869873,-21.3082904815674,677,964.713028446777,1054
"216",-47.3947067260742,-22.3493499755859,639,683.534982870488,1005
"217",-47.3945770263672,-19.7986316680908,1023,762.113028364572,1124
"218",-47.3945007324219,-20.6314754486084,925,244.381591294928,1085
"219",-47.3939819335938,-21.8285999298096,614,1111.98595381671,1029
"220",-47.3927345275879,-19.6419944763184,1023,423.932412631691,1131
"221",-47.3923606872559,-22.7131233215332,552,1021.78971216033,988
"222",-47.3919296264648,-20.4746799468994,1005,891.899926541819,1092
"223",-47.3916320800781,-21.1513156890869,685,588.987022784798,1061
"224",-47.3910865783691,-19.4854373931885,1031,816.678665563052,1138
"225",-47.3907470703125,-23.0770778656006,588,1316.0410183699,971
"226",-47.3904495239258,-22.1921443939209,628,1219.03723444251,1013
"227",-47.3903121948242,-21.6715717315674,849,914.005077633484,1037
"228",-47.3900604248047,-23.8055305480957,1047,1062.42196783934,938
"229",-47.3899726867676,-23.4412097930908,595,1229.57021501398,955
"230",-47.3895835876465,-20.3179378509521,965,1239.15607462839,1100
"231",-47.3894729614258,-19.3289241790771,1050,1407.48769834001,1146
"232",-47.3886756896973,-20.9944362640381,973,938.179448776177,1068
"233",-47.3880271911621,-19.1723957061768,835,1057.22612938773,1153
"234",-47.3877258300781,-22.555814743042,606,1200.29118216608,996
"235",-47.3864669799805,-22.0349807739258,637,1111.84295756703,1020
"236",-47.3858299255371,-20.8375377655029,747,1556.50858838978,1307
"237",-47.3857498168945,-22.9196853637695,621,1196.50680686297,1211
"238",-47.3852233886719,-20.0045280456543,715,1083.88344812285,1346
"239",-47.3846054077148,-23.2837181091309,575,1004.25677994236,1194
"240",-47.3842658996582,-23.6479339599609,848,935.482223985349,1177
"241",-47.3833389282227,-22.3985500335693,677,839.062404473008,1235
"242",-47.3831939697266,-19.8478603363037,1015,1281.9110498275,1353
"243",-47.3831214904785,-20.6807079315186,777,1021.92136646476,1315
"244",-47.3826103210449,-21.8778705596924,587,855.102325397512,1259
"245",-47.3813819885254,-19.6912460327148,1089,992.542034764136,1361
"246",-47.3810157775879,-22.7623329162598,594,642.057109714661,1218
"247",-47.3803291320801,-21.2005577087402,633,1077.52945832471,1291
"248",-47.37939453125,-23.1262435913086,546,646.980935573656,1201
"249",-47.3792037963867,-22.2413673400879,662,795.842490739073,1242
"250",-47.3787498474121,-23.8546886444092,997,983.013307109205,1167
"251",-47.3786659240723,-23.4903736114502,658,792.394921745944,1184
"252",-47.3780784606934,-19.3781452178955,1032,599.938616323453,1375
"253",-47.3766288757324,-19.2216167449951,898,1171.44456839902,1382
"254",-47.3763885498047,-22.6050281524658,578,966.584648978758,1225
"255",-47.3754730224609,-21.5636825561523,755,603.090530017925,1274
"256",-47.3753128051758,-19.0651683807373,855,600.322619847048,1390
"257",-47.3751029968262,-22.0841865539551,625,999.876426728835,1250
"258",-47.3744354248047,-22.9688873291016,572,1181.85835078981,1209
"259",-47.3738632202148,-20.0537624359131,717,384.059202340645,1344
"260",-47.3732490539551,-23.3329010009766,586,962.675358083151,1192
"261",-47.3729362487793,-23.6971244812012,910,763.361885277603,1175
"262",-47.372127532959,-21.4067230224609,586,331.883669175385,1281
"263",-47.3720054626465,-22.4477653503418,706,787.18432987063,1233
"264",-47.371768951416,-20.7299118041992,741,1154.49050088118,1312
"265",-47.3712539672852,-21.9270782470703,584,506.295528969302,1257
"266",-47.3700141906738,-19.7404880523682,972,1089.52776392024,1358
"267",-47.3696556091309,-22.8115386962891,594,730.018536852089,1216
"268",-47.3692512512207,-20.5730972290039,1000,878.652949894498,1320
"269",-47.3689880371094,-21.2497653961182,720,1006.76712472083,1288
"270",-47.3682899475098,-19.583911895752,1082,1076.03969156423,1366
"271",-47.3680801391602,-23.1754608154297,539,765.713759672484,1199
"272",-47.3678741455078,-22.2905616760254,677,760.572994151898,1240
"273",-47.3676071166992,-21.7699451446533,702,889.134845146183,1264
"274",-47.3674507141113,-23.9038677215576,832,837.99555569245,1165
"275",-47.367317199707,-23.5395812988281,722,818.60477362541,1182
"276",-47.3667945861816,-20.4163818359375,933,872.948104961802,1327
"277",-47.3667297363281,-19.4273738861084,1059,893.518751816959,1373
"278",-47.3659286499023,-21.0928344726562,711,1342.31972785044,1296
"279",-47.3650817871094,-22.6542186737061,570,1085.95739624711,1223
