,latitude,longitude,NO2gm,NO2mol,NO2mol_prec,plant_dist,popdens
100346,-22.4781837463379,-44.1143074035645,0.0012887934099126,2.80172480415786e-05,1.8664943127078e-05,5232.91525390402,2450.671404518723
100347,-22.4709663391113,-44.0795860290527,0.0007990407102624,1.73704502230976e-05,1.67196176334983e-05,5879.78909310537,2432.662828723949
100348,-22.4637565612793,-44.0448303222656,0.0003684663533931,8.0101381172426e-06,1.66171339515131e-05,8307.93025832358,791.4429729188297
100349,-22.4565582275391,-44.0100402832031,0.0002921986579167,6.35214473732049e-06,1.60661893460201e-05,11436.7645255925,180.9748923426832
100350,-22.4493675231934,-43.9752159118652,0.0008584017123212,1.86609067895915e-05,1.770060043782e-05,14831.837298307,19.985803726294865
100351,-22.4421863555908,-43.9403533935547,0.0002961169839181,6.43732573735178e-06,1.73646803887095e-05,18348.1676439395,22.381817660556514
100352,-22.4350147247314,-43.9054527282715,0.0002066270535578,4.49189246864989e-06,1.69835311680799e-05,21929.3400506516,4.731865235637395
100354,-22.4206943511963,-43.8355255126953,0.0001893944727271,4.11727114624227e-06,1.69677696248982e-05,29197.3602433268,47.895221691150226
100355,-22.4135456085205,-43.8004951477051,8.3885264075434e-05,1.82359269729204e-06,1.86368906724965e-05,32863.9713390112,95.20364189914257
100356,-22.4064044952393,-43.7654228210449,0.0011513081226439,2.50284374487819e-05,1.84227264981018e-05,36545.1227035409,42.967987032103466
100357,-22.3992710113525,-43.730297088623,0.0007684043230256,1.67044418049045e-05,1.86048655450577e-05,36429.8957306864,82.62446079437345
100358,-22.3921432495117,-43.695125579834,0.0022544387102243,4.90095371787902e-05,2.27456184802577e-05,36424.3331293351,330.36383913874414
100359,-22.3850231170654,-43.6599006652832,0.0009665913130447,2.10128546314081e-05,1.71127448993502e-05,36798.3611794322,366.4524401764593
100360,-22.377908706665,-43.6246223449707,0.0014975873564253,3.25562468788121e-05,2.13393723242916e-05,37542.4117290812,47.063633521149335
